"Country or Area","Year(s)","Variant","Value"
"Denmark","2015","Constant-fertility scenario","5657.822"
"Denmark","2015","High variant","5703.899"
"Denmark","2015","Instant replacement","5694.811"
"Denmark","2015","Low variant","5619.55"
"Denmark","2015","Medium variant","5661.723"
"Denmark","2015","No change (Const. Fer.&Mor.&Zero migration)","5561.515"
"Denmark","2015","Zero migration (Medium)","5581.005"
"Denmark","2010","Const. mortality (Medium)","5550.875"
"Denmark","2010","Constant-fertility scenario","5550.959"
"Denmark","2010","High variant","5550.959"
"Denmark","2010","Instant replacement","5550.875"
"Denmark","2010","Low variant","5550.959"
"Denmark","2010","Medium variant","5550.959"
"Denmark","2010","No change (Const. Fer.&Mor.&Zero migration)","5550.875"
"Denmark","2010","Zero migration (Medium)","5550.875"
"Denmark","2005","Medium variant","5417.692"
"Denmark","2000","Medium variant","5338.283"
"Denmark","1995","Medium variant","5232.582"
"Denmark","1990","Medium variant","5140.332"
"Denmark","1985","Medium variant","5113.408"
"Denmark","1980","Medium variant","5123.435"
"Denmark","1975","Medium variant","5061.289"
"Denmark","1970","Medium variant","4930.118"
"Denmark","1965","Medium variant","4760.262"
"Denmark","1960","Medium variant","4580.708"
"Denmark","1955","Medium variant","4439.594"
"Denmark","1950","Medium variant","4268.27"
"Estonia","2100","Const. mortality (Medium)","822.625"
"Estonia","2100","Constant-fertility scenario","781.191"
"Estonia","2100","High variant","1543.144"
"Estonia","2100","Instant replacement","1288.642"
"Estonia","2100","Low variant","548.621"
"Estonia","2100","Medium variant","958.785"
"Estonia","2100","No change (Const. Fer.&Mor.&Zero migration)","655.118"
"Estonia","2100","Zero migration (Medium)","958.534"
"Estonia","2095","Const. mortality (Medium)","837.791"
"Estonia","2095","Constant-fertility scenario","806.67"
"Estonia","2095","High variant","1502.364"
"Estonia","2095","Instant replacement","1281.885"
"Estonia","2095","Low variant","581.904"
"Estonia","2095","Medium variant","968.067"
"Estonia","2095","No change (Const. Fer.&Mor.&Zero migration)","683.954"
"Estonia","2095","Zero migration (Medium)","967.844"
"Estonia","2090","Const. mortality (Medium)","853.363"
"Estonia","2090","Constant-fertility scenario","831.895"
"Estonia","2090","High variant","1462.174"
"Estonia","2090","Instant replacement","1273.584"
"Estonia","2090","Low variant","617.172"
"Estonia","2090","Medium variant","977.454"
"Estonia","2090","No change (Const. Fer.&Mor.&Zero migration)","713.379"
"Estonia","2090","Zero migration (Medium)","977.255"
"Estonia","2085","Const. mortality (Medium)","868.632"
"Estonia","2085","Constant-fertility scenario","858.024"
"Estonia","2085","High variant","1422.423"
"Estonia","2085","Instant replacement","1263.458"
"Estonia","2085","Low variant","654.874"
"Estonia","2085","Medium variant","987.565"
"Estonia","2085","No change (Const. Fer.&Mor.&Zero migration)","743.128"
"Estonia","2085","Zero migration (Medium)","987.387"
"Estonia","2080","Const. mortality (Medium)","884.553"
"Estonia","2080","Constant-fertility scenario","886.126"
"Estonia","2080","High variant","1385.096"
"Estonia","2080","Instant replacement","1252.644"
"Estonia","2080","Low variant","695.47"
"Estonia","2080","Medium variant","999.521"
"Estonia","2080","No change (Const. Fer.&Mor.&Zero migration)","774.014"
"Estonia","2080","Zero migration (Medium)","999.368"
"Estonia","2075","Const. mortality (Medium)","903.091"
"Estonia","2075","Constant-fertility scenario","916.506"
"Estonia","2075","High variant","1353.436"
"Estonia","2075","Instant replacement","1243.955"
"Estonia","2075","Low variant","738.851"
"Estonia","2075","Medium variant","1014.352"
"Estonia","2075","No change (Const. Fer.&Mor.&Zero migration)","807.228"
"Estonia","2075","Zero migration (Medium)","1014.218"
"Estonia","2070","Const. mortality (Medium)","925.747"
"Estonia","2070","Constant-fertility scenario","948.618"
"Estonia","2070","High variant","1329.784"
"Estonia","2070","Instant replacement","1240.324"
"Estonia","2070","Low variant","784.376"
"Estonia","2070","Medium variant","1032.478"
"Estonia","2070","No change (Const. Fer.&Mor.&Zero migration)","843.254"
"Estonia","2070","Zero migration (Medium)","1032.363"
"Estonia","2065","Const. mortality (Medium)","952.716"
"Estonia","2065","Constant-fertility scenario","981.853"
"Estonia","2065","High variant","1313.806"
"Estonia","2065","Instant replacement","1242.579"
"Estonia","2065","Low variant","831.548"
"Estonia","2065","Medium variant","1053.639"
"Estonia","2065","No change (Const. Fer.&Mor.&Zero migration)","881.878"
"Estonia","2065","Zero migration (Medium)","1053.541"
"Estonia","2060","Const. mortality (Medium)","982.734"
"Estonia","2060","Constant-fertility scenario","1015.7"
"Estonia","2060","High variant","1302.054"
"Estonia","2060","Instant replacement","1248.138"
"Estonia","2060","Low variant","879.834"
"Estonia","2060","Medium variant","1076.506"
"Estonia","2060","No change (Const. Fer.&Mor.&Zero migration)","922.591"
"Estonia","2060","Zero migration (Medium)","1076.425"
"Estonia","2055","Const. mortality (Medium)","1013.956"
"Estonia","2055","Constant-fertility scenario","1049.48"
"Estonia","2055","High variant","1290.483"
"Estonia","2055","Instant replacement","1252.568"
"Estonia","2055","Low variant","928.468"
"Estonia","2055","Medium variant","1099.302"
"Estonia","2055","No change (Const. Fer.&Mor.&Zero migration)","964.581"
"Estonia","2055","Zero migration (Medium)","1099.235"
"Estonia","2050","Const. mortality (Medium)","1045.243"
"Estonia","2050","Constant-fertility scenario","1082.247"
"Estonia","2050","High variant","1277.909"
"Estonia","2050","Instant replacement","1253.008"
"Estonia","2050","Low variant","976.287"
"Estonia","2050","Medium variant","1120.94"
"Estonia","2050","No change (Const. Fer.&Mor.&Zero migration)","1006.829"
"Estonia","2050","Zero migration (Medium)","1120.891"
"Estonia","2045","Const. mortality (Medium)","1076.933"
"Estonia","2045","Constant-fertility scenario","1113.245"
"Estonia","2045","High variant","1267.352"
"Estonia","2045","Instant replacement","1251.041"
"Estonia","2045","Low variant","1022.024"
"Estonia","2045","Medium variant","1141.793"
"Estonia","2045","No change (Const. Fer.&Mor.&Zero migration)","1048.543"
"Estonia","2045","Zero migration (Medium)","1141.759"
"Estonia","2040","Const. mortality (Medium)","1109.947"
"Estonia","2040","Constant-fertility scenario","1142.517"
"Estonia","2040","High variant","1262.787"
"Estonia","2040","Instant replacement","1252.267"
"Estonia","2040","Low variant","1064.919"
"Estonia","2040","Medium variant","1162.936"
"Estonia","2040","No change (Const. Fer.&Mor.&Zero migration)","1089.615"
"Estonia","2040","Zero migration (Medium)","1162.91"
"Estonia","2035","Const. mortality (Medium)","1145.335"
"Estonia","2035","Constant-fertility scenario","1171.399"
"Estonia","2035","High variant","1266.089"
"Estonia","2035","Instant replacement","1261.334"
"Estonia","2035","Low variant","1106.462"
"Estonia","2035","Medium variant","1186.122"
"Estonia","2035","No change (Const. Fer.&Mor.&Zero migration)","1130.666"
"Estonia","2035","Zero migration (Medium)","1186.104"
"Estonia","2030","Const. mortality (Medium)","1182.967"
"Estonia","2030","Constant-fertility scenario","1201.35"
"Estonia","2030","High variant","1275.336"
"Estonia","2030","Instant replacement","1276.771"
"Estonia","2030","Low variant","1148.974"
"Estonia","2030","Medium variant","1212.15"
"Estonia","2030","No change (Const. Fer.&Mor.&Zero migration)","1172.202"
"Estonia","2030","Zero migration (Medium)","1212.142"
"Estonia","2025","Const. mortality (Medium)","1219.399"
"Estonia","2025","Constant-fertility scenario","1231.759"
"Estonia","2025","High variant","1284.454"
"Estonia","2025","Instant replacement","1291.7"
"Estonia","2025","Low variant","1191.893"
"Estonia","2025","Medium variant","1238.175"
"Estonia","2025","No change (Const. Fer.&Mor.&Zero migration)","1212.996"
"Estonia","2025","Zero migration (Medium)","1238.175"
"Estonia","2020","Const. mortality (Medium)","1250.643"
"Estonia","2020","Constant-fertility scenario","1259.518"
"Estonia","2020","High variant","1288.052"
"Estonia","2020","Instant replacement","1300.183"
"Estonia","2020","Low variant","1233.174"
"Estonia","2020","Medium variant","1260.615"
"Estonia","2020","No change (Const. Fer.&Mor.&Zero migration)","1249.546"
"Estonia","2020","Zero migration (Medium)","1260.624"
"Estonia","2015","Const. mortality (Medium)","1276.645"
"Estonia","2015","Constant-fertility scenario","1282.022"
"Estonia","2015","High variant","1291.116"
"Estonia","2015","Instant replacement","1302.107"
"Estonia","2015","Low variant","1269.335"
"Estonia","2015","Medium variant","1280.227"
"Estonia","2015","No change (Const. Fer.&Mor.&Zero migration)","1278.437"
"Estonia","2015","Zero migration (Medium)","1280.237"
"Estonia","2010","Const. mortality (Medium)","1298.54"
"Estonia","2010","Constant-fertility scenario","1298.533"
"Estonia","2010","High variant","1298.533"
"Estonia","2010","Instant replacement","1298.54"
"Estonia","2010","Low variant","1298.533"
"Estonia","2010","Medium variant","1298.533"
"Estonia","2010","No change (Const. Fer.&Mor.&Zero migration)","1298.54"
"Estonia","2010","Zero migration (Medium)","1298.54"
"Estonia","2005","Medium variant","1325.112"
"Estonia","2000","Medium variant","1366.117"
"Estonia","1995","Medium variant","1433.076"
"Estonia","1990","Medium variant","1565.32"
"Estonia","1985","Medium variant","1522.477"
"Estonia","1980","Medium variant","1474.487"
"Estonia","1975","Medium variant","1422.07"
"Estonia","1970","Medium variant","1360.236"
"Estonia","1965","Medium variant","1290.437"
"Estonia","1960","Medium variant","1216.831"
"Estonia","1955","Medium variant","1159.238"
"Estonia","1950","Medium variant","1100.998"
"Finland","2100","Const. mortality (Medium)","5019.658"
"Finland","2100","Constant-fertility scenario","5506.521"
"Finland","2100","High variant","8694.247"
"Finland","2100","Instant replacement","6720.678"
"Finland","2100","Low variant","3648.673"
"Finland","2100","Medium variant","5761.663"
"Finland","2100","No change (Const. Fer.&Mor.&Zero migration)","3937.746"
"Finland","2100","Zero migration (Medium)","4786.846"
"Finland","2095","Const. mortality (Medium)","5078.859"
"Finland","2095","Constant-fertility scenario","5547.8"
"Finland","2095","High variant","8427.72"
"Finland","2095","Instant replacement","6664.54"
"Finland","2095","Low variant","3818.512"
"Finland","2095","Medium variant","5778.052"
"Finland","2095","No change (Const. Fer.&Mor.&Zero migration)","4013.973"
"Finland","2095","Zero migration (Medium)","4813.315"
"Finland","2090","Const. mortality (Medium)","5128.657"
"Finland","2090","Constant-fertility scenario","5582.541"
"Finland","2090","High variant","8162.526"
"Finland","2090","Instant replacement","6601.256"
"Finland","2090","Low variant","3986.588"
"Finland","2090","Medium variant","5788.159"
"Finland","2090","No change (Const. Fer.&Mor.&Zero migration)","4089.632"
"Finland","2090","Zero migration (Medium)","4841.919"
"Finland","2085","Const. mortality (Medium)","5170.555"
"Finland","2085","Constant-fertility scenario","5610.393"
"Finland","2085","High variant","7897.655"
"Finland","2085","Instant replacement","6529.812"
"Finland","2085","Low variant","4150.134"
"Finland","2085","Medium variant","5791.582"
"Finland","2085","No change (Const. Fer.&Mor.&Zero migration)","4166.203"
"Finland","2085","Zero migration (Medium)","4872.217"
"Finland","2080","Const. mortality (Medium)","5207.52"
"Finland","2080","Constant-fertility scenario","5631.892"
"Finland","2080","High variant","7639.537"
"Finland","2080","Instant replacement","6452.471"
"Finland","2080","Low variant","4306.889"
"Finland","2080","Medium variant","5789.67"
"Finland","2080","No change (Const. Fer.&Mor.&Zero migration)","4245.806"
"Finland","2080","Zero migration (Medium)","4905.51"
"Finland","2075","Const. mortality (Medium)","5241.802"
"Finland","2075","Constant-fertility scenario","5646.173"
"Finland","2075","High variant","7396.795"
"Finland","2075","Instant replacement","6372.743"
"Finland","2075","Low variant","4452.878"
"Finland","2075","Medium variant","5782.706"
"Finland","2075","No change (Const. Fer.&Mor.&Zero migration)","4329.583"
"Finland","2075","Zero migration (Medium)","4941.858"
"Finland","2070","Const. mortality (Medium)","5273.759"
"Finland","2070","Constant-fertility scenario","5651.828"
"Finland","2070","High variant","7173.068"
"Finland","2070","Instant replacement","6293.314"
"Finland","2070","Low variant","4584.526"
"Finland","2070","Medium variant","5769.618"
"Finland","2070","No change (Const. Fer.&Mor.&Zero migration)","4417.475"
"Finland","2070","Zero migration (Medium)","4979.816"
"Finland","2065","Const. mortality (Medium)","5301.383"
"Finland","2065","Constant-fertility scenario","5651.585"
"Finland","2065","High variant","6967.23"
"Finland","2065","Instant replacement","6216.917"
"Finland","2065","Low variant","4705.076"
"Finland","2065","Medium variant","5752.759"
"Finland","2065","No change (Const. Fer.&Mor.&Zero migration)","4507.61"
"Finland","2065","Zero migration (Medium)","5021.077"
"Finland","2060","Const. mortality (Medium)","5323.002"
"Finland","2060","Constant-fertility scenario","5647.861"
"Finland","2060","High variant","6770.774"
"Finland","2060","Instant replacement","6141.704"
"Finland","2060","Low variant","4819.117"
"Finland","2060","Medium variant","5733.072"
"Finland","2060","No change (Const. Fer.&Mor.&Zero migration)","4599.204"
"Finland","2060","Zero migration (Medium)","5065.868"
"Finland","2055","Const. mortality (Medium)","5341.184"
"Finland","2055","Constant-fertility scenario","5643.246"
"Finland","2055","High variant","6578.741"
"Finland","2055","Instant replacement","6065.904"
"Finland","2055","Low variant","4930.996"
"Finland","2055","Medium variant","5712.498"
"Finland","2055","No change (Const. Fer.&Mor.&Zero migration)","4694.614"
"Finland","2055","Zero migration (Medium)","5115.144"
"Finland","2050","Const. mortality (Medium)","5360.673"
"Finland","2050","Constant-fertility scenario","5639.098"
"Finland","2050","High variant","6396.039"
"Finland","2050","Instant replacement","5990.052"
"Finland","2050","Low variant","5040.512"
"Finland","2050","Medium variant","5693.364"
"Finland","2050","No change (Const. Fer.&Mor.&Zero migration)","4796.491"
"Finland","2050","Zero migration (Medium)","5170.078"
"Finland","2045","Const. mortality (Medium)","5386.599"
"Finland","2045","Constant-fertility scenario","5637.575"
"Finland","2045","High variant","6236.662"
"Finland","2045","Instant replacement","5920.52"
"Finland","2045","Low variant","5144.057"
"Finland","2045","Medium variant","5678.936"
"Finland","2045","No change (Const. Fer.&Mor.&Zero migration)","4907.517"
"Finland","2045","Zero migration (Medium)","5232.777"
"Finland","2040","Const. mortality (Medium)","5426.952"
"Finland","2040","Constant-fertility scenario","5641.715"
"Finland","2040","High variant","6114.088"
"Finland","2040","Instant replacement","5867.942"
"Finland","2040","Low variant","5239.996"
"Finland","2040","Medium variant","5673.48"
"Finland","2040","No change (Const. Fer.&Mor.&Zero migration)","5028.293"
"Finland","2040","Zero migration (Medium)","5301.536"
"Finland","2035","Const. mortality (Medium)","5473.859"
"Finland","2035","Constant-fertility scenario","5643.512"
"Finland","2035","High variant","6016.974"
"Finland","2035","Instant replacement","5827.102"
"Finland","2035","Low variant","5321.43"
"Finland","2035","Medium variant","5668.602"
"Finland","2035","No change (Const. Fer.&Mor.&Zero migration)","5150.613"
"Finland","2035","Zero migration (Medium)","5367.65"
"Finland","2030","Const. mortality (Medium)","5508.018"
"Finland","2030","Constant-fertility scenario","5630.601"
"Finland","2030","High variant","5917.642"
"Finland","2030","Instant replacement","5778.54"
"Finland","2030","Low variant","5381.909"
"Finland","2030","Medium variant","5649.744"
"Finland","2030","No change (Const. Fer.&Mor.&Zero migration)","5256.971"
"Finland","2030","Zero migration (Medium)","5416.546"
"Finland","2025","Const. mortality (Medium)","5513.622"
"Finland","2025","Constant-fertility scenario","5595.088"
"Finland","2025","High variant","5795.302"
"Finland","2025","Instant replacement","5706.346"
"Finland","2025","Low variant","5418.767"
"Finland","2025","Medium variant","5607.034"
"Finland","2025","No change (Const. Fer.&Mor.&Zero migration)","5333.187"
"Finland","2025","Zero migration (Medium)","5438.201"
"Finland","2020","Const. mortality (Medium)","5489.585"
"Finland","2020","Constant-fertility scenario","5536.145"
"Finland","2020","High variant","5648.636"
"Finland","2020","Instant replacement","5609.749"
"Finland","2020","Low variant","5434.996"
"Finland","2020","Medium variant","5541.815"
"Finland","2020","No change (Const. Fer.&Mor.&Zero migration)","5375.502"
"Finland","2020","Zero migration (Medium)","5433.492"
"Finland","2015","Const. mortality (Medium)","5440.609"
"Finland","2015","Constant-fertility scenario","5458.882"
"Finland","2015","High variant","5501.562"
"Finland","2015","Instant replacement","5495.454"
"Finland","2015","Low variant","5419.623"
"Finland","2015","Medium variant","5460.592"
"Finland","2015","No change (Const. Fer.&Mor.&Zero migration)","5386.717"
"Finland","2015","Zero migration (Medium)","5408.618"
"Finland","2010","Const. mortality (Medium)","5367.878"
"Finland","2010","Constant-fertility scenario","5367.693"
"Finland","2010","High variant","5367.693"
"Finland","2010","Instant replacement","5367.878"
"Finland","2010","Low variant","5367.693"
"Finland","2010","Medium variant","5367.693"
"Finland","2010","No change (Const. Fer.&Mor.&Zero migration)","5367.878"
"Finland","2010","Zero migration (Medium)","5367.878"
"Finland","2005","Medium variant","5246.368"
"Finland","2000","Medium variant","5176.482"
"Finland","1995","Medium variant","5108.176"
"Finland","1990","Medium variant","4986.705"
"Finland","1985","Medium variant","4902.219"
"Finland","1980","Medium variant","4779.454"
"Finland","1975","Medium variant","4711.459"
"Finland","1970","Medium variant","4606.74"
"Finland","1965","Medium variant","4564.69"
"Finland","1960","Medium variant","4430.228"
"Finland","1955","Medium variant","4235.423"
"Finland","1950","Medium variant","4008.299"
"France","2100","Const. mortality (Medium)","69325.686"
"France","2100","Constant-fertility scenario","77827.229"
"France","2100","High variant","118628.976"
"France","2100","Instant replacement","84492.68"
"France","2100","Low variant","50485.144"
"France","2100","Medium variant","79059.189"
"France","2100","No change (Const. Fer.&Mor.&Zero migration)","57732.125"
"France","2100","Zero migration (Medium)","67253.782"
"France","2095","Const. mortality (Medium)","69641.069"
"France","2095","Constant-fertility scenario","77656.65"
"France","2095","High variant","114299.566"
"France","2095","Instant replacement","83760.774"
"France","2095","Low variant","52437.395"
"France","2095","Medium variant","78768.289"
"France","2095","No change (Const. Fer.&Mor.&Zero migration)","58209.561"
"France","2095","Zero migration (Medium)","67162.038"
"France","2090","Const. mortality (Medium)","69865.145"
"France","2090","Constant-fertility scenario","77390.773"
"France","2090","High variant","110066.051"
"France","2090","Instant replacement","82944.115"
"France","2090","Low variant","54310.994"
"France","2090","Medium variant","78386.456"
"France","2090","No change (Const. Fer.&Mor.&Zero migration)","58681.023"
"France","2090","Zero migration (Medium)","67066.607"
"France","2085","Const. mortality (Medium)","69997.919"
"France","2085","Constant-fertility scenario","77037.668"
"France","2085","High variant","105906.988"
"France","2085","Instant replacement","82047.204"
"France","2085","Low variant","56087.106"
"France","2085","Medium variant","77918.43"
"France","2085","No change (Const. Fer.&Mor.&Zero migration)","59145.45"
"France","2085","Zero migration (Medium)","66979.361"
"France","2080","Const. mortality (Medium)","70049.859"
"France","2080","Constant-fertility scenario","76591.333"
"France","2080","High variant","101854.883"
"France","2080","Instant replacement","81064.709"
"France","2080","Low variant","57729.971"
"France","2080","Medium variant","77363.487"
"France","2080","No change (Const. Fer.&Mor.&Zero migration)","59610.274"
"France","2080","Zero migration (Medium)","66894.004"
"France","2075","Const. mortality (Medium)","70014.632"
"France","2075","Constant-fertility scenario","76031.83"
"France","2075","High variant","97968.815"
"France","2075","Instant replacement","79989.258"
"France","2075","Low variant","59179.529"
"France","2075","Medium variant","76701.945"
"France","2075","No change (Const. Fer.&Mor.&Zero migration)","60072.134"
"France","2075","Zero migration (Medium)","66782.11"
"France","2070","Const. mortality (Medium)","69900.036"
"France","2070","Constant-fertility scenario","75426.01"
"France","2070","High variant","94382.436"
"France","2070","Instant replacement","78906.247"
"France","2070","Low variant","60478.381"
"France","2070","Medium variant","76005.91"
"France","2070","No change (Const. Fer.&Mor.&Zero migration)","60534.903"
"France","2070","Zero migration (Medium)","66710.51"
"France","2065","Const. mortality (Medium)","69744.137"
"France","2065","Constant-fertility scenario","74812.697"
"France","2065","High variant","91104.937"
"France","2065","Instant replacement","77862.728"
"France","2065","Low variant","61668.823"
"France","2065","Medium variant","75310.963"
"France","2065","No change (Const. Fer.&Mor.&Zero migration)","61041.221"
"France","2065","Zero migration (Medium)","66716.69"
"France","2060","Const. mortality (Medium)","69601.962"
"France","2060","Constant-fertility scenario","74211.986"
"France","2060","High variant","88053.827"
"France","2060","Instant replacement","76867.197"
"France","2060","Low variant","62802.897"
"France","2060","Medium variant","74635.102"
"France","2060","No change (Const. Fer.&Mor.&Zero migration)","61646.014"
"France","2060","Zero migration (Medium)","66817.274"
"France","2055","Const. mortality (Medium)","69475.163"
"France","2055","Constant-fertility scenario","73596.253"
"France","2055","High variant","85108.784"
"France","2055","Instant replacement","75871.173"
"France","2055","Low variant","63875.85"
"France","2055","Medium variant","73947.077"
"France","2055","No change (Const. Fer.&Mor.&Zero migration)","62340.91"
"France","2055","Zero migration (Medium)","66965.344"
"France","2050","Const. mortality (Medium)","69331.928"
"France","2050","Constant-fertility scenario","72930.41"
"France","2050","High variant","82244.073"
"France","2050","Instant replacement","74828.271"
"France","2050","Low variant","64831.456"
"France","2050","Medium variant","73211.972"
"France","2050","No change (Const. Fer.&Mor.&Zero migration)","63068.786"
"France","2050","Zero migration (Medium)","67097.633"
"France","2045","Const. mortality (Medium)","69143.46"
"France","2045","Constant-fertility scenario","72189.307"
"France","2045","High variant","79549.874"
"France","2045","Instant replacement","73724.317"
"France","2045","Low variant","65577.475"
"France","2045","Medium variant","72409.842"
"France","2045","No change (Const. Fer.&Mor.&Zero migration)","63769.784"
"France","2045","Zero migration (Medium)","67168.686"
"France","2040","Const. mortality (Medium)","68903.512"
"France","2040","Constant-fertility scenario","71352.711"
"France","2040","High variant","77114.59"
"France","2040","Instant replacement","72571.947"
"France","2040","Low variant","66031.042"
"France","2040","Medium variant","71523.406"
"France","2040","No change (Const. Fer.&Mor.&Zero migration)","64372.991"
"France","2040","Zero migration (Medium)","67104.865"
"France","2035","Const. mortality (Medium)","68509.815"
"France","2035","Constant-fertility scenario","70356.284"
"France","2035","High variant","74852.145"
"France","2035","Instant replacement","71330.548"
"France","2035","Low variant","66134.974"
"France","2035","Medium variant","70485.167"
"France","2035","No change (Const. Fer.&Mor.&Zero migration)","64787.293"
"France","2035","Zero migration (Medium)","66853.593"
"France","2030","Const. mortality (Medium)","67893.081"
"France","2030","Constant-fertility scenario","69190.762"
"France","2030","High variant","72602.624"
"France","2030","Instant replacement","69966.356"
"France","2030","Low variant","65971.256"
"France","2030","Medium variant","69286.37"
"France","2030","No change (Const. Fer.&Mor.&Zero migration)","64957.372"
"France","2030","Zero migration (Medium)","66425.696"
"France","2025","Const. mortality (Medium)","67068.706"
"France","2025","Constant-fertility scenario","67902.663"
"France","2025","High variant","70273.659"
"France","2025","Instant replacement","68488.416"
"France","2025","Low variant","65660.601"
"France","2025","Medium variant","67967.129"
"France","2025","No change (Const. Fer.&Mor.&Zero migration)","64901.674"
"France","2025","Zero migration (Medium)","65858.226"
"France","2020","Const. mortality (Medium)","66078.275"
"France","2020","Constant-fertility scenario","66533.572"
"France","2020","High variant","67870.614"
"France","2020","Instant replacement","66926.549"
"France","2020","Low variant","65269.039"
"France","2020","Medium variant","66569.824"
"France","2020","No change (Const. Fer.&Mor.&Zero migration)","64632.928"
"France","2020","Zero migration (Medium)","65161.287"
"France","2015","Const. mortality (Medium)","64802.521"
"France","2015","Constant-fertility scenario","64970.553"
"France","2015","High variant","65480.873"
"France","2015","Instant replacement","65166.151"
"France","2015","Low variant","64484.917"
"France","2015","Medium variant","64982.894"
"France","2015","No change (Const. Fer.&Mor.&Zero migration)","64100.651"
"France","2015","Zero migration (Medium)","64294.125"
"France","2010","Const. mortality (Medium)","63230.866"
"France","2010","Constant-fertility scenario","63230.866"
"France","2010","High variant","63230.866"
"France","2010","Instant replacement","63230.866"
"France","2010","Low variant","63230.866"
"France","2010","Medium variant","63230.866"
"France","2010","No change (Const. Fer.&Mor.&Zero migration)","63230.866"
"France","2010","Zero migration (Medium)","63230.866"
"France","2005","Medium variant","61444.972"
"France","2000","Medium variant","59213.096"
"France","1995","Medium variant","58008.958"
"France","1990","Medium variant","56845.705"
"France","1985","Medium variant","55414.446"
"France","1980","Medium variant","53941.252"
"France","1975","Medium variant","52790.52"
"France","1970","Medium variant","50703.897"
"France","1965","Medium variant","48873.531"
"France","1960","Medium variant","45698.64"
"France","1955","Medium variant","43372.283"
"France","1950","Medium variant","41831.805"
"Georgia","2100","Const. mortality (Medium)","2548.825"
"Georgia","2100","Constant-fertility scenario","2832.28"
"Georgia","2100","High variant","5065.948"
"Georgia","2100","Instant replacement","4148.134"
"Georgia","2100","Low variant","1667.568"
"Georgia","2100","Medium variant","3025.635"
"Georgia","2100","No change (Const. Fer.&Mor.&Zero migration)","2866.457"
"Georgia","2100","Zero migration (Medium)","3681.682"
"Georgia","2095","Const. mortality (Medium)","2613.052"
"Georgia","2095","Constant-fertility scenario","2889.671"
"Georgia","2095","High variant","4923.401"
"Georgia","2095","Instant replacement","4115.069"
"Georgia","2095","Low variant","1781.484"
"Georgia","2095","Medium variant","3062.954"
"Georgia","2095","No change (Const. Fer.&Mor.&Zero migration)","2967.048"
"Georgia","2095","Zero migration (Medium)","3732.277"
"Georgia","2090","Const. mortality (Medium)","2677.804"
"Georgia","2090","Constant-fertility scenario","2942.364"
"Georgia","2090","High variant","4783.606"
"Georgia","2090","Instant replacement","4076.663"
"Georgia","2090","Low variant","1898.986"
"Georgia","2090","Medium variant","3097.74"
"Georgia","2090","No change (Const. Fer.&Mor.&Zero migration)","3068.751"
"Georgia","2090","Zero migration (Medium)","3783.225"
"Georgia","2085","Const. mortality (Medium)","2741.309"
"Georgia","2085","Constant-fertility scenario","2996.949"
"Georgia","2085","High variant","4653.978"
"Georgia","2085","Instant replacement","4040.941"
"Georgia","2085","Low variant","2024.275"
"Georgia","2085","Medium variant","3136.352"
"Georgia","2085","No change (Const. Fer.&Mor.&Zero migration)","3170.841"
"Georgia","2085","Zero migration (Medium)","3840.327"
"Georgia","2080","Const. mortality (Medium)","2805.754"
"Georgia","2080","Constant-fertility scenario","3059.471"
"Georgia","2080","High variant","4537.259"
"Georgia","2080","Instant replacement","4011.483"
"Georgia","2080","Low variant","2160.546"
"Georgia","2080","Medium variant","3182.881"
"Georgia","2080","No change (Const. Fer.&Mor.&Zero migration)","3277.241"
"Georgia","2080","Zero migration (Medium)","3905.736"
"Georgia","2075","Const. mortality (Medium)","2875.352"
"Georgia","2075","Constant-fertility scenario","3130.469"
"Georgia","2075","High variant","4431.825"
"Georgia","2075","Instant replacement","3986.467"
"Georgia","2075","Low variant","2306.027"
"Georgia","2075","Medium variant","3236.255"
"Georgia","2075","No change (Const. Fer.&Mor.&Zero migration)","3392.096"
"Georgia","2075","Zero migration (Medium)","3975.914"
"Georgia","2070","Const. mortality (Medium)","2952.973"
"Georgia","2070","Constant-fertility scenario","3205.215"
"Georgia","2070","High variant","4337.074"
"Georgia","2070","Instant replacement","3964.172"
"Georgia","2070","Low variant","2455.22"
"Georgia","2070","Medium variant","3292.93"
"Georgia","2070","No change (Const. Fer.&Mor.&Zero migration)","3514.386"
"Georgia","2070","Zero migration (Medium)","4045.109"
"Georgia","2065","Const. mortality (Medium)","3039.58"
"Georgia","2065","Constant-fertility scenario","3279.479"
"Georgia","2065","High variant","4257.071"
"Georgia","2065","Instant replacement","3948.253"
"Georgia","2065","Low variant","2604.434"
"Georgia","2065","Medium variant","3352.143"
"Georgia","2065","No change (Const. Fer.&Mor.&Zero migration)","3638.758"
"Georgia","2065","Zero migration (Medium)","4110.982"
"Georgia","2060","Const. mortality (Medium)","3135.269"
"Georgia","2060","Constant-fertility scenario","3354.073"
"Georgia","2060","High variant","4196.894"
"Georgia","2060","Instant replacement","3944.847"
"Georgia","2060","Low variant","2754.975"
"Georgia","2060","Medium variant","3416.964"
"Georgia","2060","No change (Const. Fer.&Mor.&Zero migration)","3760.558"
"Georgia","2060","Zero migration (Medium)","4175.459"
"Georgia","2055","Const. mortality (Medium)","3238.139"
"Georgia","2055","Constant-fertility scenario","3432.873"
"Georgia","2055","High variant","4153.925"
"Georgia","2055","Instant replacement","3953.856"
"Georgia","2055","Low variant","2909.228"
"Georgia","2055","Medium variant","3488.536"
